symbol,date,RSI,EMA_10,EMA_20,SMA_50,returns,volume_change,volatility,momentum,future_return,label
INFY.NS,2024-09-30 00:00:00+05:30,40.270392896879045,1900.9238533700395,1901.9298940941947,1874.9699926757812,-0.016336711374885238,-0.5313577479163328,0.011367671533277758,-74.6500244140625,0.023139275420658037,WATCH
INFY.NS,2024-10-01 00:00:00+05:30,48.652404706288095,1901.546784682021,1902.1603780457892,1876.8399926757813,0.015328428435822827,-0.4233436454077635,0.012845769549300674,-48.2000732421875,0.016147242048058275,WATCH
INFY.NS,2024-10-03 00:00:00+05:30,34.65161844171659,1900.0655555423923,1901.3260586522913,1877.9699926757812,-0.005749967869485673,0.8624355682896707,0.008298682128385684,1.25,0.03459385188307993,BUY
INFY.NS,2024-10-04 00:00:00+05:30,43.647502773102815,1903.3536407917868,1902.9283411057934,1879.653994140625,0.013071722658110296,0.33284029996720377,0.009266486858604322,23.9500732421875,0.021452974944768777,WATCH
INFY.NS,2024-10-07 00:00:00+05:30,46.27772434728705,1908.9802604347572,1905.9161227936345,1881.8429956054688,0.008419583561507737,-0.3888331360459244,0.009427863643909525,28.550048828125,-0.007341194687344636,WATCH
INFY.NS,2024-10-08 00:00:00+05:30,49.115826511173594,1916.1747674153694,1909.9764967016813,1883.23599609375,0.007367005966128826,-0.07773875985161738,0.009297501443187998,52.10009765625,0.010033063697578616,WATCH
INFY.NS,2024-10-09 00:00:00+05:30,67.82353502953745,1922.8248097034839,1914.0501636824736,1884.8689965820313,0.0021554238108489887,-0.13840232121561202,0.009283335227569661,54.1500244140625,-0.03746000482092562,SELL
INFY.NS,2024-10-10 00:00:00+05:30,56.147757766929765,1922.1293897573958,1914.5215766650952,1885.70599609375,-0.017283318397132263,-0.01545017122134873,0.011234430719978816,23.699951171875,-0.034523189161021366,SELL
INFY.NS,2024-10-11 00:00:00+05:30,57.11514980773544,1924.4876780898578,1916.4814241813658,1887.0429956054688,0.008389773624772001,-0.015199956337347498,0.011455772260430375,34.8499755859375,-0.043150225338986256,SELL
INFY.NS,2024-10-14 00:00:00+05:30,64.14498477369008,1930.744468330622,1920.5212908701942,1889.1689965820312,0.0122991313773948,-0.2034328563259553,0.01192311236550194,52.1500244140625,-0.04364694416989166,SELL
INFY.NS,2024-10-15 00:00:00+05:30,63.85847193523916,1935.9363920574406,1924.2145059138068,1891.9309985351563,0.0002042086931834941,0.42713024387305154,0.009965110914209154,83.7000732421875,-0.04897160764099205,SELL
INFY.NS,2024-10-16 00:00:00+05:30,54.86463797224421,1933.0570436080764,1923.8226458825811,1895.2949975585936,-0.020007182292285153,-0.4188114586067032,0.011768969943441612,15.75,-0.030232762614403965,SELL
INFY.NS,2024-10-17 00:00:00+05:30,61.386131717911326,1939.4284857858693,1928.039534425758,1899.6349975585938,0.02499869830233825,1.6234261670853272,0.013700676148038394,74.699951171875,-0.052207713670343166,SELL
INFY.NS,2024-10-18 00:00:00+05:30,46.427158944544196,1928.550574840427,1923.4262431076797,1901.3939965820311,-0.04496722783285034,0.28952903787440176,0.02017575432811869,-38.550048828125,-0.021440693382244587,WATCH
INFY.NS,2024-10-21 00:00:00+05:30,46.95860853176054,1914.7686521421674,1916.6951723355198,1903.58599609375,-0.014284941442163746,-0.5578078728535931,0.020170134658723155,-81.550048828125,-0.02733775437272298,WATCH
INFY.NS,2024-10-22 00:00:00+05:30,42.42206685825676,1903.2834382228527,1910.4956297879405,1905.2029956054687,-0.0006207121382066916,-0.1137285451534944,0.019820126341873585,-96.9500732421875,-0.050955917492967406,SELL
INFY.NS,2024-10-23 00:00:00+05:30,47.21370969113401,1897.850090257618,1906.9627149904281,1906.7229956054687,0.01177362773577828,0.04525070056530045,0.020425311012633608,-79.3499755859375,-0.06007795845061277,SELL
